timestamp,name,session,label,phase,repetition,fatigue,ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08
2026-09-15 22:06:50.427693,vivienne,1,flexion,moving,1,1,-1,-9,8,-9,-1,3,2,-2
2026-09-15 22:06:50.441360,vivienne,1,flexion,moving,1,1,-9,-9,1,-12,-3,4,-4,-1
2026-09-15 22:06:50.441976,vivienne,1,flexion,moving,1,1,2,2,0,8,0,-6,-3,-2
2026-09-15 22:06:50.448338,vivienne,1,flexion,moving,1,1,4,6,1,6,3,-2,-4,3
2026-09-15 22:06:50.448964,vivienne,1,flexion,moving,1,1,-1,-8,8,-7,-6,-2,2,-1
2026-09-15 22:06:50.455705,vivienne,1,flexion,moving,1,1,-10,-8,-7,-5,-7,5,-1,-3
2026-09-15 22:06:50.456297,vivienne,1,flexion,moving,1,1,3,2,-14,4,1,-6,-3,3
2026-09-15 22:06:50.470807,vivienne,1,flexion,moving,1,1,2,6,2,7,5,-2,0,0
2026-09-15 22:06:50.471459,vivienne,1,flexion,moving,1,1,-9,-9,3,-8,-8,-4,-4,2
2026-09-15 22:06:50.478338,vivienne,1,flexion,moving,1,1,-2,-4,0,-17,-4,6,-2,0
2026-09-15 22:06:50.478965,vivienne,1,flexion,moving,1,1,1,8,8,21,12,-3,-2,-1
2026-09-15 22:06:50.487129,vivienne,1,flexion,moving,1,1,0,1,-3,-1,-2,-7,-4,-4
2026-09-15 22:06:50.487745,vivienne,1,flexion,moving,1,1,0,-7,0,-7,2,1,2,-3
2026-09-15 22:06:50.501340,vivienne,1,flexion,moving,1,1,-8,-9,-1,-9,-3,1,2,0
2026-09-15 22:06:50.501952,vivienne,1,flexion,moving,1,1,4,2,-8,6,3,-8,-7,-8
2026-09-15 22:06:50.508314,vivienne,1,flexion,moving,1,1,11,9,-5,8,4,-3,-3,1
2026-09-15 22:06:50.508941,vivienne,1,flexion,moving,1,1,-2,-8,-16,-12,-3,4,-3,1
2026-09-15 22:06:50.515859,vivienne,1,flexion,moving,1,1,-11,-6,7,-5,-2,2,0,-2
2026-09-15 22:06:50.516519,vivienne,1,flexion,moving,1,1,2,7,-6,2,-3,-2,-5,1
2026-09-15 22:06:50.530810,vivienne,1,flexion,moving,1,1,0,7,-3,10,3,-4,-4,-2
2026-09-15 22:06:50.531461,vivienne,1,flexion,moving,1,1,-9,-10,-1,-7,-2,-4,2,-3
2026-09-15 22:06:50.538340,vivienne,1,flexion,moving,1,1,-6,-11,2,-11,-4,4,0,-1
